"User Story: User Story Reference","User Story: Owner Name","Release","JIRA key","User Story: Created By"
"US-0010150","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-43408","Aayush Shrivastava"
"US-0010221","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47672","Aayush Shrivastava"
"US-0010336","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-43753","Aayush Shrivastava"
"US-0010338","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44036","Aayush Shrivastava"
"US-0010398","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44424","Aayush Shrivastava"
"US-0010401","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-40708","Aayush Shrivastava"
"US-0010416","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44079","Aayush Shrivastava"
"US-0010460","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44540","Aayush Shrivastava"
"US-0010476","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44542","Aayush Shrivastava"
"US-0010477","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44542","Aayush Shrivastava"
"US-0010478","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44542","Aayush Shrivastava"
"US-0010498","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44550","Aayush Shrivastava"
"US-0010501","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44550","Aayush Shrivastava"
"US-0010513","Aayush Shrivastava","Dearborn PNM Phase 3 release","sfdc-44542","Aayush Shrivastava"
"US-0010527","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44550","Aayush Shrivastava"
"US-0010543","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-42518","Aayush Shrivastava"
"US-0010576","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44452","Aayush Shrivastava"
"US-0010588","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44764","Aayush Shrivastava"
"US-0010610","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-47672","Aayush Shrivastava"
"US-0010636","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44854","Aayush Shrivastava"
"US-0010637","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44854","Aayush Shrivastava"
"US-0010658","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44869","Aayush Shrivastava"
"US-0010667","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44796","Aayush Shrivastava"
"US-0010672","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44796","Aayush Shrivastava"
"US-0010690","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45110","Aayush Shrivastava"
"US-0010699","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45135","Aayush Shrivastava"
"US-0010711","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45151","Aayush Shrivastava"
"US-0010713","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44979","Aayush Shrivastava"
"US-0010714","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-40708","Aayush Shrivastava"
"US-0010725","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45022","Aayush Shrivastava"
"US-0010737","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44854","Aayush Shrivastava"
"US-0010747","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDc-44560","Aayush Shrivastava"
"US-0010757","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44869","Aayush Shrivastava"
"US-0010758","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44869","Aayush Shrivastava"
"US-0010845","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44981","Aayush Shrivastava"
"US-0010847","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45441","Aayush Shrivastava"
"US-0010854","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45356","Aayush Shrivastava"
"US-0010906","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45685","Aayush Shrivastava"
"US-0010966","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45456","Aayush Shrivastava"
"US-0011048","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45674","Aayush Shrivastava"
"US-0011057","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46047","Aayush Shrivastava"
"US-0011058","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46048","Aayush Shrivastava"
"US-0011087","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46104","Aayush Shrivastava"
"US-0011106","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-43784","Aayush Shrivastava"
"US-0011110","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-44114","Aayush Shrivastava"
"US-0011118","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-43785","Aayush Shrivastava"
"US-0011134","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45680","Aayush Shrivastava"
"US-0011142","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46302","Aayush Shrivastava"
"US-0011146","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46330","Aayush Shrivastava"
"US-0011202","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46306","Aayush Shrivastava"
"US-0011204","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46304","Aayush Shrivastava"
"US-0011205","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-46325","Aayush Shrivastava"
"US-0011238","Aayush Shrivastava","Dearborn PNM Phase 3 release","SFDC-45674","Aayush Shrivastava"
